iter	RMSE
0	14.48288304
1	14.10450297
2	13.75505398
3	13.39093986
4	13.05325864
5	12.75579794
6	12.44985859
7	12.18018459
8	11.89464107
9	11.61503523
10	11.32862332
11	11.08774268
12	10.83696229
13	10.59858143
14	10.36007712
15	10.1174218
16	9.909070599
17	9.700789571
18	9.497165433
19	9.308339319
20	9.167830057
21	8.998867628
22	8.84320584
23	8.674953733
24	8.524777166
25	8.384694659
26	8.252154294
27	8.124183069
28	8.005387909
29	7.883347325
30	7.781820393
31	7.674364529
32	7.566685936
33	7.469964011
34	7.36944612
35	7.272744474
36	7.176970592
37	7.10366479
38	7.023931534
39	6.952446902
40	6.871244348
41	6.80099285
42	6.73164
43	6.673026296
44	6.609445635
45	6.553913629
46	6.493018614
47	6.436501615
48	6.381102845
49	6.326887441
50	6.280578874
51	6.237953654
52	6.190413686
53	6.145121518
54	6.099442632
55	6.060838601
56	6.023135454
57	5.992516072
58	5.959148713
59	5.928503129
60	5.900592379
61	5.871197106
62	5.841172868
63	5.808788977
64	5.777630103
65	5.748989389
66	5.723058081
67	5.697783407
68	5.671208848
69	5.644360384
70	5.623528686
71	5.605202442
72	5.587842627
73	5.566859032
74	5.548054204
75	5.53079691
76	5.513417455
77	5.492593548
78	5.473295763
79	5.457349806
80	5.447524119
81	5.43005832
82	5.414966824
83	5.400757971
84	5.394630672
85	5.37941433
86	5.369988325
87	5.361880708
88	5.350253521
89	5.336799229
90	5.325241639
91	5.315710809
92	5.307714794
93	5.298602138
94	5.291386041
95	5.281480202
96	5.271892815
97	5.262934797
98	5.254859711
99	5.24440401
100	5.238297754
101	5.235570064
102	5.226674832
103	5.220673948
104	5.20675194
105	5.196649338
106	5.188305901
107	5.18303923
108	5.175068773
109	5.168389943
110	5.161400315
111	5.153709843
112	5.144602338
113	5.139023849
114	5.131308732
115	5.122686306
116	5.115504782
117	5.108992741
118	5.105757976
119	5.100396112
120	5.093589358
121	5.087642162
122	5.085418046
123	5.080843978
124	5.075810946
125	5.070057098
126	5.06658933
127	5.057034417
128	5.052548795
129	5.047216648
130	5.041320364
131	5.035248743
132	5.03081728
133	5.028633577
134	5.020329807
135	5.014234904
136	5.009849006
137	5.006107796
138	5.002880693
139	4.994372531
140	4.989033894
141	4.985824903
142	4.980420732
143	4.973340613
144	4.966930124
145	4.961099873
146	4.956794838
147	4.951151753
148	4.945384017
149	4.942673607
150	4.937098478
151	4.933774441
152	4.928823785
153	4.92521828
154	4.921726717
155	4.918313941
156	4.912445774
157	4.907911814
158	4.904131345
159	4.898693429
160	4.89672693
161	4.890155197
162	4.887474987
163	4.882476951
164	4.879300994
165	4.877381665
166	4.871240244
167	4.865973433
168	4.861915561
169	4.85865194
170	4.853993932
171	4.852054297
172	4.845347607
173	4.84345021
174	4.840305143
175	4.835342578
176	4.834201272
177	4.828610999
178	4.825594145
179	4.823669737
180	4.81764771
181	4.816119352
182	4.810678684
183	4.805791564
184	4.800940477
185	4.795400698
186	4.793441339
187	4.788197978
188	4.786381906
189	4.778182924
190	4.773068032
191	4.770262876
192	4.767412637
193	4.765554917
194	4.763564106
195	4.759063426
196	4.753913154
197	4.751641385
198	4.745148144
199	4.74111132
200	4.738445787
201	4.735302208
202	4.72969148
203	4.728923558
204	4.725353704
205	4.720280117
206	4.714719832
207	4.710975248
208	4.709967015
209	4.703425982
210	4.700828433
211	4.699728922
212	4.6949084
213	4.690078533
214	4.683971873
215	4.681213949
216	4.679958043
217	4.675481349
218	4.672609224
219	4.67198555
220	4.669014526
221	4.666212594
222	4.662305322
223	4.658869625
224	4.653738132
225	4.650967601
226	4.648630657
227	4.646535624
228	4.645996152
229	4.642946021
230	4.642339329
231	4.640640577
232	4.638503969
233	4.634322927
234	4.630284114
235	4.629118558
236	4.625904555
237	4.625378999
238	4.623224561
239	4.617179828
240	4.613706973
241	4.610241976
242	4.606306849
243	4.602293857
244	4.595836586
245	4.593217375
246	4.589616792
247	4.584840575
248	4.584131004
249	4.581823298
250	4.580110031
251	4.575275718
252	4.569538976
253	4.568659066
254	4.567110889
255	4.565633656
256	4.56367034
257	4.560671322
258	4.560118597
259	4.553370012
260	4.552532978
261	4.54586976
262	4.541329946
263	4.537086977
264	4.531096681
265	4.530390668
266	4.527097354
267	4.524254514
268	4.523576655
269	4.519730503
270	4.515208957
271	4.510555062
272	4.509067231
273	4.503650082
274	4.503200622
275	4.502555687
276	4.498647275
277	4.497546859
278	4.492995052
279	4.48870178
280	4.484230807
281	4.481303864
282	4.478027251
283	4.477108895
284	4.474713698
285	4.471415087
286	4.465801237
287	4.462372568
288	4.461772788
289	4.460083988
290	4.459381483
291	4.455364571
292	4.452760658
293	4.44713634
294	4.441082817
295	4.439582246
296	4.437765769
297	4.435740502
298	4.431682414
299	4.42980283
300	4.426015846
301	4.421295959
302	4.415183246
303	4.41111623
304	4.410796046
305	4.405393755
306	4.403238777
307	4.400006642
308	4.396193514
309	4.394713706
310	4.393393579
311	4.391492202
312	4.386084225
313	4.383614728
314	4.382099333
315	4.376383359
316	4.373061887
317	4.370729625
318	4.368991947
319	4.365157745
320	4.362432105
321	4.360246927
322	4.355841994
323	4.350563156
324	4.345779001
325	4.342243793
326	4.340389825
327	4.337921949
328	4.335168538
329	4.330739729
330	4.328420035
331	4.325285801
332	4.323728485
333	4.319272299
334	4.316493312
335	4.315381107
336	4.314928565
337	4.311594546
338	4.307566862
339	4.304019771
340	4.302235692
341	4.300527563
342	4.298243433
343	4.294464052
344	4.292301625
345	4.290462682
346	4.287129528
347	4.283668949
348	4.281217817
349	4.279955724
350	4.278206102
351	4.271717295
352	4.266187477
353	4.261749519
354	4.257530677
355	4.253417077
356	4.250203112
357	4.246331989
358	4.24230281
359	4.240782027
360	4.236378157
361	4.230169116
362	4.227049385
363	4.222885622
364	4.218778814
365	4.213833627
366	4.211867421
367	4.211616652
368	4.208391335
369	4.205602087
370	4.20068916
371	4.19770535
372	4.194735311
373	4.192349553
374	4.189480269
375	4.188582179
376	4.182215178
377	4.179406284
378	4.177169885
379	4.173498696
380	4.1730502
381	4.169523287
382	4.166808796
383	4.162163732
384	4.160382485
385	4.158554365
386	4.156957824
387	4.154953673
388	4.15277303
389	4.149427388
390	4.146204984
391	4.144397838
392	4.14384288
393	4.141462179
394	4.140932718
395	4.138000597
396	4.136276873
397	4.136049639
398	4.133465969
399	4.130235914
400	4.126093794
401	4.1257347
402	4.124512687
403	4.124309848
404	4.123358526
405	4.122282922
406	4.120344979
407	4.116681011
408	4.116249919
409	4.113773657
410	4.113311194
411	4.110827347
412	4.110678569
413	4.108067653
414	4.107890572
415	4.107728559
416	4.102581954
417	4.09830551
418	4.094509276
419	4.091367836
420	4.09093009
421	4.087431663
422	4.085614327
423	4.083096232
424	4.079421364
425	4.076044042
426	4.075165859
427	4.073743868
428	4.072183848
429	4.067869229
430	4.066027788
431	4.065861256
432	4.063350426
433	4.060831932
434	4.058447831
435	4.0570817
436	4.054879719
437	4.05368574
438	4.050607818
439	4.046525992
440	4.040820195
441	4.038076436
442	4.033681446
443	4.027932919
444	4.026429821
445	4.023805383
446	4.021193498
447	4.019900588
448	4.017408
449	4.014204291
450	4.013363354
451	4.012124162
452	4.010284601
453	4.006920626
454	4.006594627
455	4.00208772
456	4.000317326
457	3.998198059
458	3.993486793
459	3.993004336
460	3.988412128
461	3.985197133
462	3.983971019
463	3.982808267
464	3.9825556
465	3.978506779
466	3.978217337
467	3.971310331
468	3.967473971
469	3.965362838
470	3.96518473
471	3.964502867
472	3.961944679
473	3.956715536
474	3.952407515
475	3.947334114
476	3.945609014
477	3.9425176
478	3.939151422
479	3.937383715
480	3.935118474
481	3.933701326
482	3.933571865
483	3.930722804
484	3.927777567
485	3.926638935
