iter	Passed	Remaining
0	2	229
1	4	204
2	6	204
3	7	188
4	9	178
5	10	169
6	12	161
7	13	152
8	14	145
9	15	139
10	16	132
11	17	125
12	17	119
13	18	115
14	20	114
15	20	110
16	21	105
17	22	102
18	23	98
19	23	95
20	24	91
21	25	89
22	25	86
23	26	84
24	28	86
25	29	85
26	30	83
27	31	80
28	32	78
29	32	76
30	33	75
31	34	74
32	35	72
33	36	70
34	37	68
35	37	67
36	38	65
37	39	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	56
43	43	54
44	43	53
45	44	52
46	45	51
47	46	49
48	46	48
49	48	48
50	48	46
51	49	45
52	50	44
53	50	43
54	51	42
55	52	41
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	56	33
63	57	32
64	58	31
65	59	30
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	15
84	79	14
85	80	13
86	81	12
87	83	11
88	84	10
89	84	9
90	86	8
91	87	7
92	88	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	95	0
